workbook_id,category,module_id,record_id,record_kind,module_kind,procedure_kind,visibility,execution_trigger,source_status,source_lines,executable_lines,calculation_topics,detected_units,risk_signals
17219f0e78ccdcfd,bha-tools,m0001,m0001,module,class-or-document-module,,,,available,22,0,bha.geometry,,
17219f0e78ccdcfd,bha-tools,m0001,m0001-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,,,
17219f0e78ccdcfd,bha-tools,m0001,m0001-p0002,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,bha.geometry,,
17219f0e78ccdcfd,bha-tools,m0001,m0001-p0003,procedure,class-or-document-module,sub,private,worksheet-event,available,14,13,bha.geometry,,
17219f0e78ccdcfd,bha-tools,m0002,m0002,module,class-or-document-module,,,,available,55,0,,m^3,
17219f0e78ccdcfd,bha-tools,m0002,m0002-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,,,
17219f0e78ccdcfd,bha-tools,m0002,m0002-p0002,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,,,
17219f0e78ccdcfd,bha-tools,m0002,m0002-p0003,procedure,class-or-document-module,sub,private,worksheet-event,available,47,32,,m^3,
17219f0e78ccdcfd,bha-tools,m0003,m0003,module,class-or-document-module,,,,available,51,0,,m^3,
17219f0e78ccdcfd,bha-tools,m0003,m0003-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,,,
17219f0e78ccdcfd,bha-tools,m0003,m0003-p0002,procedure,class-or-document-module,sub,private,worksheet-event,available,47,32,,m^3,
17219f0e78ccdcfd,bha-tools,m0004,m0004,module,class-or-document-module,,,,available,0,0,,,
17219f0e78ccdcfd,bha-tools,m0005,m0005,module,class-or-document-module,,,,available,0,0,,,
17219f0e78ccdcfd,bha-tools,m0006,m0006,module,class-or-document-module,,,,available,0,0,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0001,m0001,module,class-or-document-module,,,,available,0,0,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0002,m0002,module,standard-module,,,,available,69,0,,ft|hp,external-process|native-api
1d0b997e43f13c8f,torque-drag-drillstring,m0002,m0002-p0001,procedure,standard-module,function,public,explicit-call,available,12,10,,hp,external-process
1d0b997e43f13c8f,torque-drag-drillstring,m0002,m0002-p0002,procedure,standard-module,function,public,explicit-call,available,9,7,,ft,
1d0b997e43f13c8f,torque-drag-drillstring,m0003,m0003,module,standard-module,,,,available,108,0,torque-drag.axial-load|torque-drag.torque,,
1d0b997e43f13c8f,torque-drag-drillstring,m0003,m0003-p0001,procedure,standard-module,sub,public,explicit-call,available,25,19,torque-drag.axial-load|torque-drag.torque,,
1d0b997e43f13c8f,torque-drag-drillstring,m0003,m0003-p0002,procedure,standard-module,sub,public,explicit-call,available,27,21,torque-drag.axial-load|torque-drag.torque,,
1d0b997e43f13c8f,torque-drag-drillstring,m0003,m0003-p0003,procedure,standard-module,sub,public,explicit-call,available,13,7,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0003,m0003-p0004,procedure,standard-module,sub,public,explicit-call,available,13,7,torque-drag.axial-load|torque-drag.torque,,
1d0b997e43f13c8f,torque-drag-drillstring,m0003,m0003-p0005,procedure,standard-module,sub,public,explicit-call,available,17,11,torque-drag.axial-load|torque-drag.torque,,
1d0b997e43f13c8f,torque-drag-drillstring,m0003,m0003-p0006,procedure,standard-module,sub,public,explicit-call,available,13,7,torque-drag.axial-load|torque-drag.torque,,
1d0b997e43f13c8f,torque-drag-drillstring,m0004,m0004,module,standard-module,,,,available,40,0,torque-drag.axial-load|torque-drag.torque,,
1d0b997e43f13c8f,torque-drag-drillstring,m0004,m0004-p0001,procedure,standard-module,sub,public,explicit-call,available,21,15,torque-drag.axial-load|torque-drag.torque,,
1d0b997e43f13c8f,torque-drag-drillstring,m0004,m0004-p0002,procedure,standard-module,sub,public,explicit-call,available,19,13,torque-drag.axial-load|torque-drag.torque,,
1d0b997e43f13c8f,torque-drag-drillstring,m0005,m0005,module,standard-module,,,,available,60,0,torque-drag.axial-load|torque-drag.torque,,
1d0b997e43f13c8f,torque-drag-drillstring,m0005,m0005-p0001,procedure,standard-module,sub,public,explicit-call,available,60,54,torque-drag.axial-load|torque-drag.torque,,
1d0b997e43f13c8f,torque-drag-drillstring,m0006,m0006,module,class-or-document-module,,,,available,3,0,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0006,m0006-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,3,2,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007,module,class-or-document-module,,,,available,602,0,cross-cutting.unit-conversion|hydraulics.fluid-properties|torque-drag.axial-load|torque-drag.torque,ft/s|gal|m/s,filesystem-write
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0001,procedure,class-or-document-module,sub,private,explicit-call,available,17,13,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0002,procedure,class-or-document-module,sub,private,explicit-call,available,3,2,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0003,procedure,class-or-document-module,sub,private,explicit-call,available,3,2,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0004,procedure,class-or-document-module,sub,private,explicit-call,available,14,13,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0005,procedure,class-or-document-module,sub,private,explicit-call,available,4,2,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0006,procedure,class-or-document-module,sub,private,explicit-call,available,11,9,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0007,procedure,class-or-document-module,sub,private,explicit-call,available,4,2,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0008,procedure,class-or-document-module,sub,private,explicit-call,available,11,10,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0009,procedure,class-or-document-module,sub,private,explicit-call,available,4,2,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0010,procedure,class-or-document-module,sub,private,explicit-call,available,11,10,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0011,procedure,class-or-document-module,sub,private,explicit-call,available,4,2,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0012,procedure,class-or-document-module,sub,private,explicit-call,available,12,11,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0013,procedure,class-or-document-module,sub,private,explicit-call,available,4,2,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0014,procedure,class-or-document-module,sub,private,explicit-call,available,12,11,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0015,procedure,class-or-document-module,sub,private,explicit-call,available,3,2,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0016,procedure,class-or-document-module,sub,private,explicit-call,available,12,11,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0017,procedure,class-or-document-module,sub,private,explicit-call,available,4,2,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0018,procedure,class-or-document-module,sub,private,explicit-call,available,346,174,cross-cutting.unit-conversion|hydraulics.fluid-properties|torque-drag.axial-load|torque-drag.torque,ft/s|gal|m/s,filesystem-write
1d0b997e43f13c8f,torque-drag-drillstring,m0007,m0007-p0019,procedure,class-or-document-module,sub,private,worksheet-event,available,101,82,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0008,m0008,module,class-or-document-module,,,,available,0,0,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0009,m0009,module,class-or-document-module,,,,available,536,0,hydraulics.fluid-properties|torque-drag.axial-load|torque-drag.torque,ft/s|gal|m/s,filesystem-write
1d0b997e43f13c8f,torque-drag-drillstring,m0009,m0009-p0001,procedure,class-or-document-module,sub,private,explicit-call,available,3,2,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0009,m0009-p0002,procedure,class-or-document-module,sub,private,explicit-call,available,283,127,hydraulics.fluid-properties|torque-drag.axial-load|torque-drag.torque,ft/s|gal|m/s,filesystem-write
1d0b997e43f13c8f,torque-drag-drillstring,m0009,m0009-p0003,procedure,class-or-document-module,sub,private,explicit-call,available,246,148,hydraulics.fluid-properties|torque-drag.axial-load|torque-drag.torque,gal,filesystem-write
1d0b997e43f13c8f,torque-drag-drillstring,m0010,m0010,module,class-or-document-module,,,,available,354,0,hydraulics.fluid-properties|torque-drag.axial-load,N|cm|deg|ft|ft*lbf|kg/m^3|lbf|mm|ppg|rad,filesystem-write
1d0b997e43f13c8f,torque-drag-drillstring,m0010,m0010-p0001,procedure,class-or-document-module,sub,private,workbook-event,available,85,41,,,filesystem-write
1d0b997e43f13c8f,torque-drag-drillstring,m0010,m0010-p0002,procedure,class-or-document-module,sub,private,workbook-event,available,268,192,hydraulics.fluid-properties|torque-drag.axial-load,N|cm|deg|ft|ft*lbf|kg/m^3|lbf|mm|ppg|rad,
1d0b997e43f13c8f,torque-drag-drillstring,m0011,m0011,module,user-form,,,,available,7,0,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0011,m0011-p0001,procedure,user-form,sub,private,explicit-call,available,3,3,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0011,m0011-p0002,procedure,user-form,sub,private,userform-event,available,3,2,,,
1d0b997e43f13c8f,torque-drag-drillstring,m0012,m0012,module,unknown-module,,,,available,5,0,torque-drag.axial-load,min,
1e6f56798a002c5f,torque-drag-drillstring,m0001,m0001,module,class-or-document-module,,,,available,0,0,,,
1e6f56798a002c5f,torque-drag-drillstring,m0002,m0002,module,class-or-document-module,,,,available,0,0,,,
1e6f56798a002c5f,torque-drag-drillstring,m0003,m0003,module,class-or-document-module,,,,available,0,0,,,
1e6f56798a002c5f,torque-drag-drillstring,m0004,m0004,module,class-or-document-module,,,,available,0,0,,,
1e6f56798a002c5f,torque-drag-drillstring,m0005,m0005,module,class-or-document-module,,,,available,0,0,,,
1e6f56798a002c5f,torque-drag-drillstring,m0006,m0006,module,class-or-document-module,,,,available,0,0,,,
1e6f56798a002c5f,torque-drag-drillstring,m0007,m0007,module,class-or-document-module,,,,available,0,0,,,
1e6f56798a002c5f,torque-drag-drillstring,m0008,m0008,module,class-or-document-module,,,,available,0,0,,,
1e6f56798a002c5f,torque-drag-drillstring,m0009,m0009,module,class-or-document-module,,,,available,0,0,,,
1e6f56798a002c5f,torque-drag-drillstring,m0010,m0010,module,class-or-document-module,,,,available,0,0,,,
1e6f56798a002c5f,torque-drag-drillstring,m0011,m0011,module,unknown-module,,,,available,9,0,,,
2f31e7e9f41839d2,hydraulics,m0001,m0001,module,class-or-document-module,,,,available,51,0,,,
2f31e7e9f41839d2,hydraulics,m0001,m0001-p0001,procedure,class-or-document-module,sub,private,explicit-call,available,51,42,,,
2f31e7e9f41839d2,hydraulics,m0002,m0002,module,class-or-document-module,,,,available,42,0,,,
2f31e7e9f41839d2,hydraulics,m0002,m0002-p0001,procedure,class-or-document-module,sub,private,explicit-call,available,42,33,,,
2f31e7e9f41839d2,hydraulics,m0003,m0003,module,standard-module,,,,available,393,0,,bbl|m|s,
2f31e7e9f41839d2,hydraulics,m0003,m0003-p0001,procedure,standard-module,sub,public,explicit-call,available,393,359,,bbl|m|s,
2f31e7e9f41839d2,hydraulics,m0004,m0004,module,standard-module,,,,available,284,0,directional.coordinates|hydraulics.equivalent-circulating-density,N|bar|m,
2f31e7e9f41839d2,hydraulics,m0004,m0004-p0001,procedure,standard-module,sub,public,explicit-call,available,7,7,,bar,
2f31e7e9f41839d2,hydraulics,m0004,m0004-p0002,procedure,standard-module,sub,public,explicit-call,available,60,42,directional.coordinates|hydraulics.equivalent-circulating-density,N,
2f31e7e9f41839d2,hydraulics,m0004,m0004-p0003,procedure,standard-module,sub,public,explicit-call,available,217,173,directional.coordinates,N|m,
2f31e7e9f41839d2,hydraulics,m0005,m0005,module,standard-module,,,,available,433,0,bha.geometry,m|s,
2f31e7e9f41839d2,hydraulics,m0005,m0005-p0001,procedure,standard-module,sub,public,explicit-call,available,262,242,bha.geometry,s,
2f31e7e9f41839d2,hydraulics,m0005,m0005-p0002,procedure,standard-module,sub,public,explicit-call,available,170,148,,m|s,
2f31e7e9f41839d2,hydraulics,m0006,m0006,module,standard-module,,,,available,89,0,,,
2f31e7e9f41839d2,hydraulics,m0006,m0006-p0001,procedure,standard-module,sub,public,explicit-call,available,54,45,,,
2f31e7e9f41839d2,hydraulics,m0006,m0006-p0002,procedure,standard-module,sub,public,explicit-call,available,34,25,,,
2f31e7e9f41839d2,hydraulics,m0007,m0007,module,standard-module,,,,available,151,0,bha.geometry,bar,
2f31e7e9f41839d2,hydraulics,m0007,m0007-p0001,procedure,standard-module,sub,public,explicit-call,available,17,17,,,
2f31e7e9f41839d2,hydraulics,m0007,m0007-p0002,procedure,standard-module,sub,public,explicit-call,available,81,81,bha.geometry,bar,
2f31e7e9f41839d2,hydraulics,m0007,m0007-p0003,procedure,standard-module,sub,public,explicit-call,available,53,53,,bar,
2f31e7e9f41839d2,hydraulics,m0008,m0008,module,standard-module,,,,available,409,0,hydraulics.surge-swab,bbl|m|s,
2f31e7e9f41839d2,hydraulics,m0008,m0008-p0001,procedure,standard-module,sub,public,explicit-call,available,5,4,hydraulics.surge-swab,,
2f31e7e9f41839d2,hydraulics,m0008,m0008-p0002,procedure,standard-module,sub,public,explicit-call,available,404,364,,bbl|m|s,
2f31e7e9f41839d2,hydraulics,m0009,m0009,module,class-or-document-module,,,,available,16,0,,,
2f31e7e9f41839d2,hydraulics,m0009,m0009-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,8,8,,,
2f31e7e9f41839d2,hydraulics,m0009,m0009-p0002,procedure,class-or-document-module,sub,private,worksheet-event,available,7,7,,,
2f31e7e9f41839d2,hydraulics,m0010,m0010,module,class-or-document-module,,,,available,0,0,,,
2f31e7e9f41839d2,hydraulics,m0011,m0011,module,class-or-document-module,,,,available,7,0,,,
2f31e7e9f41839d2,hydraulics,m0011,m0011-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,,,
2f31e7e9f41839d2,hydraulics,m0011,m0011-p0002,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,,,
2f31e7e9f41839d2,hydraulics,m0012,m0012,module,class-or-document-module,,,,available,6,0,,,
2f31e7e9f41839d2,hydraulics,m0012,m0012-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,,,
2f31e7e9f41839d2,hydraulics,m0012,m0012-p0002,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,,,
2f31e7e9f41839d2,hydraulics,m0013,m0013,module,class-or-document-module,,,,available,0,0,,,
2f31e7e9f41839d2,hydraulics,m0014,m0014,module,class-or-document-module,,,,available,11,0,,bar,
2f31e7e9f41839d2,hydraulics,m0014,m0014-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,,,
2f31e7e9f41839d2,hydraulics,m0014,m0014-p0002,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,,,
2f31e7e9f41839d2,hydraulics,m0014,m0014-p0003,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,,bar,
2f31e7e9f41839d2,hydraulics,m0015,m0015,module,class-or-document-module,,,,available,0,0,,,
2f31e7e9f41839d2,hydraulics,m0016,m0016,module,class-or-document-module,,,,available,9,0,,,
2f31e7e9f41839d2,hydraulics,m0016,m0016-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,4,4,,,
2f31e7e9f41839d2,hydraulics,m0016,m0016-p0002,procedure,class-or-document-module,sub,private,worksheet-event,available,4,4,,,
2f31e7e9f41839d2,hydraulics,m0017,m0017,module,class-or-document-module,,,,available,0,0,,,
2f31e7e9f41839d2,hydraulics,m0018,m0018,module,class-or-document-module,,,,available,0,0,,,
2f31e7e9f41839d2,hydraulics,m0019,m0019,module,class-or-document-module,,,,available,0,0,,,
2f31e7e9f41839d2,hydraulics,m0020,m0020,module,class-or-document-module,,,,available,0,0,,,
2f31e7e9f41839d2,hydraulics,m0021,m0021,module,class-or-document-module,,,,available,6,0,hydraulics.equivalent-circulating-density,,
2f31e7e9f41839d2,hydraulics,m0021,m0021-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,hydraulics.equivalent-circulating-density,,
2f31e7e9f41839d2,hydraulics,m0021,m0021-p0002,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,hydraulics.equivalent-circulating-density,,
2f31e7e9f41839d2,hydraulics,m0022,m0022,module,class-or-document-module,,,,available,3,0,hydraulics.equivalent-circulating-density,,
2f31e7e9f41839d2,hydraulics,m0022,m0022-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,hydraulics.equivalent-circulating-density,,
2f31e7e9f41839d2,hydraulics,m0023,m0023,module,class-or-document-module,,,,available,0,0,,,
2f31e7e9f41839d2,hydraulics,m0024,m0024,module,class-or-document-module,,,,available,0,0,,,
2f31e7e9f41839d2,hydraulics,m0025,m0025,module,class-or-document-module,,,,available,0,0,,,
2f31e7e9f41839d2,hydraulics,m0026,m0026,module,class-or-document-module,,,,available,0,0,,,
2f31e7e9f41839d2,hydraulics,m0027,m0027,module,class-or-document-module,,,,available,6,0,,,
2f31e7e9f41839d2,hydraulics,m0027,m0027-p0001,procedure,class-or-document-module,sub,private,workbook-event,available,6,4,,,
332bc3b3c75e571d,torque-drag-drillstring,m0001,m0001,module,class-or-document-module,,,,available,22,0,,,
332bc3b3c75e571d,torque-drag-drillstring,m0001,m0001-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,,,
332bc3b3c75e571d,torque-drag-drillstring,m0001,m0001-p0002,procedure,class-or-document-module,sub,private,worksheet-event,available,3,2,,,
332bc3b3c75e571d,torque-drag-drillstring,m0001,m0001-p0003,procedure,class-or-document-module,sub,private,worksheet-event,available,14,14,,,
332bc3b3c75e571d,torque-drag-drillstring,m0002,m0002,module,class-or-document-module,,,,available,41,0,,,
332bc3b3c75e571d,torque-drag-drillstring,m0002,m0002-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,3,3,,,
332bc3b3c75e571d,torque-drag-drillstring,m0002,m0002-p0002,procedure,class-or-document-module,sub,private,worksheet-event,available,3,2,,,
332bc3b3c75e571d,torque-drag-drillstring,m0002,m0002-p0003,procedure,class-or-document-module,sub,private,worksheet-event,available,33,33,,,
332bc3b3c75e571d,torque-drag-drillstring,m0003,m0003,module,class-or-document-module,,,,available,0,0,,,
332bc3b3c75e571d,torque-drag-drillstring,m0004,m0004,module,class-or-document-module,,,,available,0,0,,,
659bcaadadb110f0,torque-drag-drillstring,m0001,m0001,module,class-or-document-module,,,,available,0,0,,,
659bcaadadb110f0,torque-drag-drillstring,m0002,m0002,module,standard-module,,,,available,69,0,,ft|hp,external-process|native-api
659bcaadadb110f0,torque-drag-drillstring,m0002,m0002-p0001,procedure,standard-module,function,public,explicit-call,available,12,10,,hp,external-process
659bcaadadb110f0,torque-drag-drillstring,m0002,m0002-p0002,procedure,standard-module,function,public,explicit-call,available,9,7,,ft,
659bcaadadb110f0,torque-drag-drillstring,m0003,m0003,module,standard-module,,,,available,108,0,torque-drag.axial-load|torque-drag.torque,,
659bcaadadb110f0,torque-drag-drillstring,m0003,m0003-p0001,procedure,standard-module,sub,public,explicit-call,available,25,19,torque-drag.axial-load|torque-drag.torque,,
659bcaadadb110f0,torque-drag-drillstring,m0003,m0003-p0002,procedure,standard-module,sub,public,explicit-call,available,27,21,torque-drag.axial-load|torque-drag.torque,,
659bcaadadb110f0,torque-drag-drillstring,m0003,m0003-p0003,procedure,standard-module,sub,public,explicit-call,available,13,7,,,
659bcaadadb110f0,torque-drag-drillstring,m0003,m0003-p0004,procedure,standard-module,sub,public,explicit-call,available,13,7,torque-drag.axial-load|torque-drag.torque,,
659bcaadadb110f0,torque-drag-drillstring,m0003,m0003-p0005,procedure,standard-module,sub,public,explicit-call,available,17,11,torque-drag.axial-load|torque-drag.torque,,
659bcaadadb110f0,torque-drag-drillstring,m0003,m0003-p0006,procedure,standard-module,sub,public,explicit-call,available,13,7,torque-drag.axial-load|torque-drag.torque,,
659bcaadadb110f0,torque-drag-drillstring,m0004,m0004,module,standard-module,,,,available,40,0,torque-drag.axial-load|torque-drag.torque,,
659bcaadadb110f0,torque-drag-drillstring,m0004,m0004-p0001,procedure,standard-module,sub,public,explicit-call,available,21,15,torque-drag.axial-load|torque-drag.torque,,
659bcaadadb110f0,torque-drag-drillstring,m0004,m0004-p0002,procedure,standard-module,sub,public,explicit-call,available,19,13,torque-drag.axial-load|torque-drag.torque,,
659bcaadadb110f0,torque-drag-drillstring,m0005,m0005,module,standard-module,,,,available,60,0,torque-drag.axial-load|torque-drag.torque,,
659bcaadadb110f0,torque-drag-drillstring,m0005,m0005-p0001,procedure,standard-module,sub,public,explicit-call,available,60,54,torque-drag.axial-load|torque-drag.torque,,
659bcaadadb110f0,torque-drag-drillstring,m0006,m0006,module,class-or-document-module,,,,available,3,0,,,
659bcaadadb110f0,torque-drag-drillstring,m0006,m0006-p0001,procedure,class-or-document-module,sub,private,worksheet-event,available,3,2,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007,module,class-or-document-module,,,,available,602,0,cross-cutting.unit-conversion|hydraulics.fluid-properties|torque-drag.axial-load|torque-drag.torque,ft/s|gal|m/s,filesystem-write
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0001,procedure,class-or-document-module,sub,private,explicit-call,available,17,13,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0002,procedure,class-or-document-module,sub,private,explicit-call,available,3,2,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0003,procedure,class-or-document-module,sub,private,explicit-call,available,3,2,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0004,procedure,class-or-document-module,sub,private,explicit-call,available,14,13,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0005,procedure,class-or-document-module,sub,private,explicit-call,available,4,2,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0006,procedure,class-or-document-module,sub,private,explicit-call,available,11,9,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0007,procedure,class-or-document-module,sub,private,explicit-call,available,4,2,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0008,procedure,class-or-document-module,sub,private,explicit-call,available,11,10,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0009,procedure,class-or-document-module,sub,private,explicit-call,available,4,2,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0010,procedure,class-or-document-module,sub,private,explicit-call,available,11,10,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0011,procedure,class-or-document-module,sub,private,explicit-call,available,4,2,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0012,procedure,class-or-document-module,sub,private,explicit-call,available,12,11,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0013,procedure,class-or-document-module,sub,private,explicit-call,available,4,2,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0014,procedure,class-or-document-module,sub,private,explicit-call,available,12,11,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0015,procedure,class-or-document-module,sub,private,explicit-call,available,3,2,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0016,procedure,class-or-document-module,sub,private,explicit-call,available,12,11,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0017,procedure,class-or-document-module,sub,private,explicit-call,available,4,2,,,
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0018,procedure,class-or-document-module,sub,private,explicit-call,available,346,174,cross-cutting.unit-conversion|hydraulics.fluid-properties|torque-drag.axial-load|torque-drag.torque,ft/s|gal|m/s,filesystem-write
659bcaadadb110f0,torque-drag-drillstring,m0007,m0007-p0019,procedure,class-or-document-module,sub,private,worksheet-event,available,101,82,,,
659bcaadadb110f0,torque-drag-drillstring,m0008,m0008,module,class-or-document-module,,,,available,0,0,,,
659bcaadadb110f0,torque-drag-drillstring,m0009,m0009,module,class-or-document-module,,,,available,536,0,hydraulics.fluid-properties|torque-drag.axial-load|torque-drag.torque,ft/s|gal|m/s,filesystem-write
659bcaadadb110f0,torque-drag-drillstring,m0009,m0009-p0001,procedure,class-or-document-module,sub,private,explicit-call,available,3,2,,,
659bcaadadb110f0,torque-drag-drillstring,m0009,m0009-p0002,procedure,class-or-document-module,sub,private,explicit-call,available,283,127,hydraulics.fluid-properties|torque-drag.axial-load|torque-drag.torque,ft/s|gal|m/s,filesystem-write
659bcaadadb110f0,torque-drag-drillstring,m0009,m0009-p0003,procedure,class-or-document-module,sub,private,explicit-call,available,246,148,hydraulics.fluid-properties|torque-drag.axial-load|torque-drag.torque,gal,filesystem-write
659bcaadadb110f0,torque-drag-drillstring,m0010,m0010,module,class-or-document-module,,,,available,354,0,hydraulics.fluid-properties|torque-drag.axial-load,N|cm|deg|ft|ft*lbf|kg/m^3|lbf|mm|ppg|rad,filesystem-write
659bcaadadb110f0,torque-drag-drillstring,m0010,m0010-p0001,procedure,class-or-document-module,sub,private,workbook-event,available,85,41,,,filesystem-write
659bcaadadb110f0,torque-drag-drillstring,m0010,m0010-p0002,procedure,class-or-document-module,sub,private,workbook-event,available,268,192,hydraulics.fluid-properties|torque-drag.axial-load,N|cm|deg|ft|ft*lbf|kg/m^3|lbf|mm|ppg|rad,
659bcaadadb110f0,torque-drag-drillstring,m0011,m0011,module,user-form,,,,available,7,0,,,
659bcaadadb110f0,torque-drag-drillstring,m0011,m0011-p0001,procedure,user-form,sub,private,explicit-call,available,3,3,,,
659bcaadadb110f0,torque-drag-drillstring,m0011,m0011-p0002,procedure,user-form,sub,private,userform-event,available,3,2,,,
659bcaadadb110f0,torque-drag-drillstring,m0012,m0012,module,unknown-module,,,,available,5,0,torque-drag.axial-load,min,
65e07d7859867671,hydraulics,m0001,m0001,module,class-or-document-module,,,,available,0,0,,,
65e07d7859867671,hydraulics,m0002,m0002,module,class-or-document-module,,,,available,0,0,,,
65e07d7859867671,hydraulics,m0003,m0003,module,class-or-document-module,,,,available,0,0,,,
65e07d7859867671,hydraulics,m0004,m0004,module,class-or-document-module,,,,available,0,0,,,
65e07d7859867671,hydraulics,m0005,m0005,module,class-or-document-module,,,,available,0,0,,,
65e07d7859867671,hydraulics,m0006,m0006,module,class-or-document-module,,,,available,0,0,,,
65e07d7859867671,hydraulics,m0007,m0007,module,class-or-document-module,,,,available,28,0,,,
65e07d7859867671,hydraulics,m0007,m0007-p0001,procedure,class-or-document-module,sub,private,explicit-call,available,7,7,,,
65e07d7859867671,hydraulics,m0007,m0007-p0002,procedure,class-or-document-module,sub,private,explicit-call,available,5,5,,,
65e07d7859867671,hydraulics,m0007,m0007-p0003,procedure,class-or-document-module,sub,private,explicit-call,available,8,7,,,
65e07d7859867671,hydraulics,m0007,m0007-p0004,procedure,class-or-document-module,sub,private,explicit-call,available,5,5,,,
65e07d7859867671,hydraulics,m0008,m0008,module,class-or-document-module,,,,available,0,0,,,
65e07d7859867671,hydraulics,m0009,m0009,module,class-or-document-module,,,,available,0,0,,,
65e07d7859867671,hydraulics,m0010,m0010,module,standard-module,,,,available,330,0,bha.geometry|cross-cutting.lookup|directional.coordinates|hydraulics.fluid-properties|hydraulics.hole-cleaning|hydraulics.rheology,L/min|deg|ft|ft/h|in|lbf|lbm/ft^3|lbm/gal|m^2|m^3,
65e07d7859867671,hydraulics,m0010,m0010-p0001,procedure,standard-module,sub,public,explicit-call,available,259,213,directional.coordinates|hydraulics.hole-cleaning,m^2,
65e07d7859867671,hydraulics,m0010,m0010-p0002,procedure,standard-module,sub,public,explicit-call,available,5,4,,,
