workbook_id,category,extension,sheet_index,sheet_id,sheet_kind,formula_family_id,formula_kind,implementation,occurrence_count,layout_kind,cell_range_count,cell_ranges,functions,volatile_functions,external_reference_count,calculation_topics,classification_evidence,detected_units
03d6e377ebce5434,cementing-casing,.xlsx,1,s0001,worksheet,f000001,regular,worksheet-formula,277,filled-column,1,O11:O295,,,0,casing-cementing.unresolved,catalog-category,
03d6e377ebce5434,cementing-casing,.xlsx,1,s0001,worksheet,f000002,regular,worksheet-formula,57,filled-column,1,J12:J68,IF,,0,casing-cementing.unresolved,catalog-category,N
03d6e377ebce5434,cementing-casing,.xlsx,1,s0001,worksheet,f000003,regular,worksheet-formula,1,single-cell,1,M8,,,0,casing-cementing.unresolved,catalog-category,
03d6e377ebce5434,cementing-casing,.xlsx,1,s0001,worksheet,f000004,regular,worksheet-formula,279,filled-column,1,C11:C295,VLOOKUP,,0,casing-cementing.unresolved,catalog-category,ft
03d6e377ebce5434,cementing-casing,.xlsx,1,s0001,worksheet,f000005,regular,worksheet-formula,56,filled-column,1,I13:I68,IF,,0,casing-cementing.unresolved,catalog-category,
03d6e377ebce5434,cementing-casing,.xlsx,1,s0001,worksheet,f000006,regular,worksheet-formula,1,single-cell,1,B74,,,0,casing-cementing.unresolved,catalog-category,
03d6e377ebce5434,cementing-casing,.xlsx,1,s0001,worksheet,f000007,regular,worksheet-formula,1,single-cell,1,O74,,,0,casing-cementing.unresolved,catalog-category,
03d6e377ebce5434,cementing-casing,.xlsx,1,s0001,worksheet,f000008,regular,worksheet-formula,278,filled-column,1,N11:N295,IF|UDF,,0,casing-cementing.unresolved,catalog-category,
03d6e377ebce5434,cementing-casing,.xlsx,1,s0001,worksheet,f000009,regular,worksheet-formula,558,multi-area,6,A11:A36|A38:A67|A74:A295|B10:B67|B75:B295|I12,,,0,casing-cementing.unresolved,catalog-category,N|ft
04fb7368e003571e,hydraulics,.xlsx,3,s0003,worksheet,f000001,regular,worksheet-formula,480,rectangular-table,1,B3:I84,,,0,hydraulics.equivalent-circulating-density|hydraulics.pressure-loss,local-context,gal/min|ppg|psi|rpm
04fb7368e003571e,hydraulics,.xlsx,1,s0001,worksheet,f000002,regular,worksheet-formula,1,single-cell,1,I4,SUM,,0,cross-cutting.validation,local-context,ft|in
07703bad7ed83b8e,hydraulics,.xlsx,1,s0001,worksheet,f000001,regular,worksheet-formula,20,filled-column,1,D3:D22,,,0,hydraulics.unresolved,catalog-category,
07703bad7ed83b8e,hydraulics,.xlsx,1,s0001,worksheet,f000002,regular,worksheet-formula,20,filled-column,1,C3:C22,,,0,hydraulics.unresolved,catalog-category,
08779a41064fe720,well-control,.xls,1,s0001,worksheet,f000001,regular,worksheet-formula,1,single-cell,1,B21,,,0,well-control.unresolved,catalog-category,specific-gravity
08779a41064fe720,well-control,.xls,1,s0001,worksheet,f000002,unparsed,worksheet-formula,1,single-cell,1,B14,UDF,CELL,0,hydraulics.fluid-properties,local-context,h|lbm/ft^3
08779a41064fe720,well-control,.xls,1,s0001,worksheet,f000003,unparsed,worksheet-formula,1,single-cell,1,B15,UDF,CELL,0,hydraulics.fluid-properties,local-context,h|lbm/ft^3
08779a41064fe720,well-control,.xls,1,s0001,worksheet,f000004,unparsed,worksheet-formula,1,single-cell,1,F15,UDF,CELL,0,well-control.unresolved,catalog-category,h
08779a41064fe720,well-control,.xls,1,s0001,worksheet,f000005,unparsed,worksheet-formula,1,single-cell,1,F14,UDF,CELL,0,well-control.unresolved,catalog-category,h|lbm/ft^3
0bd17e3b1ef5840f,hydraulics,.xlsx,3,s0003,worksheet,f000001,regular,worksheet-formula,450,multi-area,45,B3:B12|B16:B25|B29:B38|B49:B58|B62:B71|B75:B84|C3:C12|C16:C25|C29:C38|C49:C58|C62:C71|C75:C84|D3:D12|D16:D25|D29:D38|D49:D58|D62:D71|D75:D84|E3:E12|E16:E25|E29:E38|E49:E58|E62:E71|E75:E84|F16:F25|F29:F38|F75:F84|G3:G12|G16:G25|G29:G38|G49:G58|G62:G71|G75:G84|H3:H12|H16:H25|H29:H38|H49:H58|H62:H71|H75:H84|I3:I12|I16:I25|I29:I38|I49:I58|I62:I71|I75:I84,,,0,hydraulics.equivalent-circulating-density|hydraulics.pressure-loss,local-context,gal/min|ppg|psi|rpm
0bd17e3b1ef5840f,hydraulics,.xlsx,1,s0001,worksheet,f000002,regular,worksheet-formula,1,single-cell,1,I4,SUM,,0,cross-cutting.validation,local-context,ft|in
103555378b7cd4f8,hydraulics,.xlsx,1,s0001,worksheet,f000001,regular,worksheet-formula,994,filled-column,1,J2:J995,IF|POWER,,0,hydraulics.unresolved,catalog-category,
103555378b7cd4f8,hydraulics,.xlsx,1,s0001,worksheet,f000002,regular,worksheet-formula,1988,rectangular-table,1,K2:O995,ABS,,0,hydraulics.unresolved,catalog-category,
103555378b7cd4f8,hydraulics,.xlsx,1,s0001,worksheet,f000003,regular,worksheet-formula,994,filled-column,1,N2:N995,,,0,hydraulics.unresolved,catalog-category,
10ad89a67b02b3a8,bha-tools,.xlsx,1,s0001,worksheet,f000001,regular,worksheet-formula,60,rectangular-table,1,M11:Q30,,,0,bha.geometry|torque-drag.connection-capacity,local-context,ft
10ad89a67b02b3a8,bha-tools,.xlsx,1,s0001,worksheet,f000002,regular,worksheet-formula,20,filled-column,1,G11:G30,,,0,bha.geometry,local-context,ft|rad
10ad89a67b02b3a8,bha-tools,.xlsx,1,s0001,worksheet,f000003,regular,worksheet-formula,19,filled-column,1,A12:A30,,,0,bha.geometry,local-context,
10ad89a67b02b3a8,bha-tools,.xlsx,1,s0001,worksheet,f000004,regular,worksheet-formula,19,filled-column,1,J12:J30,SUM,,0,bha.geometry,local-context,ft
10ad89a67b02b3a8,bha-tools,.xlsx,1,s0001,worksheet,f000005,regular,worksheet-formula,40,rectangular-table,1,E11:F30,,,0,bha.geometry,local-context,ft|rad
10ad89a67b02b3a8,bha-tools,.xlsx,1,s0001,worksheet,f000006,regular,worksheet-formula,9,multi-area,5,J11|L31:L32|M33:M34|N31:N32|O33:O34,SUM,,0,bha.geometry,local-context,ft
10ad89a67b02b3a8,bha-tools,.xlsx,1,s0001,worksheet,f000007,regular,worksheet-formula,40,rectangular-table,1,L11:N30,,,0,bha.geometry,local-context,ft
10ad89a67b02b3a8,bha-tools,.xlsx,1,s0001,worksheet,f000008,regular,worksheet-formula,1,single-cell,1,C8,,,0,bha.geometry,local-context,ppg|rad
10ad89a67b02b3a8,bha-tools,.xlsx,1,s0001,worksheet,f000009,regular,worksheet-formula,40,rectangular-table,1,I11:K30,,,0,bha.geometry,local-context,ft
10ad89a67b02b3a8,bha-tools,.xlsx,4,s0004,worksheet,f000010,regular,worksheet-formula,28,filled-column,1,H8:H35,,,0,bha.geometry,local-context,s
10ad89a67b02b3a8,bha-tools,.xlsx,4,s0004,worksheet,f000011,regular,worksheet-formula,26,filled-column,1,J9:J34,SQRT,,0,bha.geometry,local-context,
10ad89a67b02b3a8,bha-tools,.xlsx,4,s0004,worksheet,f000012,regular,worksheet-formula,60,rectangular-table,1,K6:L35,,,0,bha.geometry,local-context,ft
10ad89a67b02b3a8,bha-tools,.xlsx,3,s0003,worksheet,f000013,regular,worksheet-formula,1,single-cell,1,T16,SIN,,0,bha.geometry|directional.coordinates,local-context,
10ad89a67b02b3a8,bha-tools,.xlsx,3,s0003,worksheet,f000014,regular,worksheet-formula,1,single-cell,1,T12,,,0,bha.geometry,local-context,
10ad89a67b02b3a8,bha-tools,.xlsx,3,s0003,worksheet,f000015,regular,worksheet-formula,1,single-cell,1,T13,ACOS|COS|SIN,,0,bha.geometry,local-context,
10ad89a67b02b3a8,bha-tools,.xlsx,3,s0003,worksheet,f000016,regular,worksheet-formula,1,single-cell,1,T15,COS|SIN,,0,bha.geometry|directional.coordinates,local-context,
10ad89a67b02b3a8,bha-tools,.xlsx,3,s0003,worksheet,f000017,regular,worksheet-formula,1,single-cell,1,T14,TAN,,0,bha.geometry,local-context,
10ad89a67b02b3a8,bha-tools,.xlsx,3,s0003,worksheet,f000018,regular,worksheet-formula,1,single-cell,1,T17,COS,,0,bha.geometry|directional.coordinates,local-context,
10ad89a67b02b3a8,bha-tools,.xlsx,3,s0003,worksheet,f000019,regular,worksheet-formula,26,filled-column,1,N9:N34,SQRT,,0,bha.geometry,local-context,rad
10ad89a67b02b3a8,bha-tools,.xlsx,3,s0003,worksheet,f000020,regular,worksheet-formula,60,rectangular-table,1,O6:P35,,,0,bha.geometry|directional.coordinates,local-context,ft|rad
10ad89a67b02b3a8,bha-tools,.xlsx,3,s0003,worksheet,f000021,regular,worksheet-formula,4,rectangular-table,1,S8:T9,RADIANS,,0,bha.geometry,local-context,rad
150938c6fccf188a,hydraulics,.xlsx,1,s0001,worksheet,f000001,regular,worksheet-formula,1,single-cell,1,K2,,,0,hydraulics.unresolved,catalog-category,
17219f0e78ccdcfd,bha-tools,.xlsm,3,s0003,worksheet,f000001,regular,worksheet-formula,1,single-cell,1,M3,,,0,hydraulics.fluid-properties,local-context,MPa|kg/m^3
17219f0e78ccdcfd,bha-tools,.xlsm,1,s0001,worksheet,f000002,regular,worksheet-formula,1,single-cell,1,D5,,,0,bha.geometry|torque-drag.axial-load,local-context,kN
17219f0e78ccdcfd,bha-tools,.xlsm,1,s0001,worksheet,f000003,regular,worksheet-formula,1,single-cell,1,G5,,,0,bha.geometry,local-context,mm
17219f0e78ccdcfd,bha-tools,.xlsm,1,s0001,worksheet,f000004,regular,worksheet-formula,1,single-cell,1,F4,,,0,bha.geometry|torque-drag.axial-load,local-context,kN|mm
17219f0e78ccdcfd,bha-tools,.xlsm,1,s0001,worksheet,f000005,regular,worksheet-formula,1,single-cell,1,D3,,,0,bha.geometry|torque-drag.axial-load,local-context,kN
17219f0e78ccdcfd,bha-tools,.xlsm,1,s0001,worksheet,f000006,regular,worksheet-formula,1,single-cell,1,F5,,,0,bha.geometry,local-context,mm
17219f0e78ccdcfd,bha-tools,.xlsm,1,s0001,worksheet,f000007,regular,worksheet-formula,5,filled-column,1,G6:G10,,,0,bha.geometry,local-context,mm
17219f0e78ccdcfd,bha-tools,.xlsm,1,s0001,worksheet,f000008,regular,worksheet-formula,1,single-cell,1,D4,,,0,bha.geometry|torque-drag.axial-load,local-context,kN
17219f0e78ccdcfd,bha-tools,.xlsm,1,s0001,worksheet,f000009,regular,worksheet-formula,1,single-cell,1,G3,,,0,bha.geometry,local-context,mm
17219f0e78ccdcfd,bha-tools,.xlsm,1,s0001,worksheet,f000010,regular,worksheet-formula,1,single-cell,1,F3,,,0,bha.geometry,local-context,kN|mm
17219f0e78ccdcfd,bha-tools,.xlsm,1,s0001,worksheet,f000011,regular,worksheet-formula,1,single-cell,1,G4,,,0,bha.geometry,local-context,mm
17219f0e78ccdcfd,bha-tools,.xlsm,2,s0002,worksheet,f000012,regular,worksheet-formula,4,filled-column,1,K3:K6,,,0,hydraulics.fluid-properties,local-context,MPa|kg/m^3
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000001,regular,worksheet-formula,7,filled-row,1,C25:I25,IF|ROUNDDOWN|UDF,,0,hydraulics.annular-velocity,local-context,gal/min|percent
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000002,regular,worksheet-formula,1,single-cell,1,D34,IF,,0,hydraulics.bit-nozzle|hydraulics.equivalent-circulating-density|hydraulics.pressure-loss,local-context,hp|percent|ppg
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000003,regular,worksheet-formula,2,filled-column,1,I34:I35,,,0,hydraulics.bit-nozzle,local-context,hp
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000004,regular,worksheet-formula,2,filled-row,1,H22:I22,,,0,hydraulics.unresolved,catalog-category,gal/min
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000005,regular,worksheet-formula,7,filled-row,1,C24:I24,IF|ROUNDUP|UDF,,0,directional.coordinates|hydraulics.annular-velocity,local-context,ft|gal/min|percent|strokes/min
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000006,regular,worksheet-formula,1,single-cell,1,B3,NOW|TEXT,NOW,0,hydraulics.unresolved,catalog-category,
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000007,regular,worksheet-formula,1,single-cell,1,D37,,,0,hydraulics.bit-nozzle,local-context,hp|in^2|percent|psi
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000008,regular,worksheet-formula,1,single-cell,1,D32,IF|SUM,,0,hydraulics.bit-nozzle|hydraulics.pressure-loss,local-context,hp
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000009,regular,worksheet-formula,1,single-cell,1,I32,ROUNDUP|SUM,,0,hydraulics.pressure-loss,local-context,
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000010,regular,worksheet-formula,3,filled-row,1,C27:H27,IF,,0,hydraulics.unresolved,catalog-category,gal/min
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000011,regular,worksheet-formula,1,single-cell,1,D35,IF|SUM|UDF,,0,hydraulics.bit-nozzle|hydraulics.equivalent-circulating-density,local-context,hp|in^2|percent|ppg
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000012,regular,worksheet-formula,1,single-cell,1,D38,IF|UDF,,0,hydraulics.bit-nozzle|hydraulics.pressure-loss,local-context,hp|in^2|percent
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000013,regular,worksheet-formula,1,single-cell,1,D36,PI,,0,hydraulics.bit-nozzle,local-context,hp|in^2|percent
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000014,regular,worksheet-formula,1,single-cell,1,C22,COS|PI,,0,directional.coordinates|hydraulics.annular-velocity,local-context,ft|gal/min|percent|strokes/min
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000015,regular,worksheet-formula,7,filled-row,1,C29:I29,IF|ROUNDDOWN|UDF,,0,hydraulics.bit-nozzle|hydraulics.pressure-loss,local-context,
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000016,regular,worksheet-formula,4,filled-row,1,C30:F30,IF|UDF,,0,hydraulics.bit-nozzle|hydraulics.pressure-loss,local-context,hp
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000017,regular,worksheet-formula,3,filled-row,1,G30:I30,IF|ISERROR,,0,hydraulics.pressure-loss,local-context,
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000018,regular,worksheet-formula,1,single-cell,1,I38,,,0,hydraulics.bit-nozzle,local-context,
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000019,regular,worksheet-formula,1,single-cell,1,I33,IF|UDF,,0,hydraulics.bit-nozzle,local-context,
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000020,regular,worksheet-formula,1,single-cell,1,I37,IF|PI|UDF,,0,hydraulics.unresolved,catalog-category,hp|in^2
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000021,regular,worksheet-formula,2,multi-area,2,D33|H16,SUM,,0,hydraulics.bit-nozzle|hydraulics.pressure-loss,local-context,ft|hp
1e6e0ff76799305d,hydraulics,.xls,1,s0001,worksheet,f000022,regular,worksheet-formula,1,single-cell,1,I36,IF|UDF,,0,hydraulics.unresolved,catalog-category,hp|percent
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000001,regular,worksheet-formula,1,single-cell,1,E15,COS|PI|RADIANS,,0,torque-drag.unresolved,catalog-category,
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000002,regular,worksheet-formula,3,filled-column,1,E9:E36,,,0,torque-drag.unresolved,catalog-category,ft
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000003,regular,worksheet-formula,2,filled-column,1,E11:E38,COS|PI|RADIANS,,0,torque-drag.unresolved,catalog-category,
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000004,regular,worksheet-formula,1,single-cell,1,E40,,,0,torque-drag.unresolved,catalog-category,
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000005,regular,worksheet-formula,3,filled-column,1,B22:B42,,,0,torque-drag.unresolved,catalog-category,ft
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000006,regular,worksheet-formula,4,multi-area,4,B23|B26|B43|E18,,,0,torque-drag.unresolved,catalog-category,ft
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000007,regular,worksheet-formula,2,filled-column,1,E20:E43,,,0,torque-drag.unresolved,catalog-category,ft
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000008,regular,worksheet-formula,1,single-cell,1,E37,,,0,torque-drag.axial-load,local-context,
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000009,regular,worksheet-formula,1,single-cell,1,E13,,,0,torque-drag.unresolved,catalog-category,deg
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000010,regular,worksheet-formula,2,filled-column,1,E8:E35,,,0,torque-drag.unresolved,catalog-category,
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000011,regular,worksheet-formula,2,filled-column,1,E12:E39,COS|PI|RADIANS,,0,torque-drag.unresolved,catalog-category,deg
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000012,regular,worksheet-formula,1,single-cell,1,E14,COS|PI|RADIANS,,0,torque-drag.unresolved,catalog-category,
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000013,regular,worksheet-formula,2,filled-column,1,E19:E42,,,0,torque-drag.unresolved,catalog-category,ft
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000014,regular,worksheet-formula,1,single-cell,1,B28,IF,,0,torque-drag.unresolved,catalog-category,ft
1e6f56798a002c5f,torque-drag-drillstring,.xls,1,s0001,worksheet,f000015,regular,worksheet-formula,1,single-cell,1,E10,,,0,torque-drag.unresolved,catalog-category,
1e6ff4d7941da18d,hydraulics,.xlsx,3,s0003,worksheet,f000001,regular,worksheet-formula,480,rectangular-table,1,B3:I84,,,0,hydraulics.equivalent-circulating-density|hydraulics.pressure-loss,local-context,gal/min|ppg|psi|rpm
1e6ff4d7941da18d,hydraulics,.xlsx,1,s0001,worksheet,f000002,regular,worksheet-formula,1,single-cell,1,I4,SUM,,0,cross-cutting.validation,local-context,ft|in
1e714a35863a0d7e,bha-tools,.xls,6,s0006,worksheet,f000001,regular,worksheet-formula,2,filled-column,1,M49:M51,,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,6,s0006,worksheet,f000002,regular,worksheet-formula,1,single-cell,1,E50,,,0,bha.geometry,local-context,N|specific-gravity
1e714a35863a0d7e,bha-tools,.xls,6,s0006,worksheet,f000003,regular,worksheet-formula,2,filled-column,1,M48:M50,SUM,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,6,s0006,worksheet,f000004,regular,worksheet-formula,1,single-cell,1,P16,IF,,0,bha.geometry,local-context,in|kg|m
1e714a35863a0d7e,bha-tools,.xls,6,s0006,worksheet,f000005,regular,worksheet-formula,2,filled-row,1,L16:N16,IF,,0,bha.geometry|torque-drag.connection-capacity,local-context,kg|m
1e714a35863a0d7e,bha-tools,.xls,7,s0007,worksheet,f000006,regular,worksheet-formula,2,filled-column,1,M49:M51,,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,7,s0007,worksheet,f000007,regular,worksheet-formula,1,single-cell,1,E50,,,0,bha.geometry,local-context,N|specific-gravity
1e714a35863a0d7e,bha-tools,.xls,7,s0007,worksheet,f000008,regular,worksheet-formula,2,filled-column,1,M48:M50,SUM,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,7,s0007,worksheet,f000009,regular,worksheet-formula,1,single-cell,1,P16,IF,,0,bha.geometry,local-context,in|kg|m
1e714a35863a0d7e,bha-tools,.xls,7,s0007,worksheet,f000010,regular,worksheet-formula,2,filled-row,1,L16:N16,IF,,0,bha.geometry|torque-drag.connection-capacity,local-context,kg|m
1e714a35863a0d7e,bha-tools,.xls,1,s0001,worksheet,f000011,regular,worksheet-formula,2,filled-column,1,M43:M45,,,0,bha.geometry,local-context,
1e714a35863a0d7e,bha-tools,.xls,1,s0001,worksheet,f000012,regular,worksheet-formula,1,single-cell,1,E44,,,0,bha.geometry,local-context,specific-gravity
1e714a35863a0d7e,bha-tools,.xls,1,s0001,worksheet,f000013,regular,worksheet-formula,2,filled-column,1,M42:M44,SUM,,0,bha.geometry,local-context,
1e714a35863a0d7e,bha-tools,.xls,1,s0001,worksheet,f000014,regular,worksheet-formula,1,single-cell,1,P16,IF,,0,bha.geometry,local-context,in|kg|m
1e714a35863a0d7e,bha-tools,.xls,1,s0001,worksheet,f000015,regular,worksheet-formula,2,filled-row,1,L16:N16,IF,,0,bha.geometry|torque-drag.connection-capacity,local-context,kg|m
1e714a35863a0d7e,bha-tools,.xls,10,s0010,worksheet,f000016,regular,worksheet-formula,2,filled-column,1,M49:M51,,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,10,s0010,worksheet,f000017,regular,worksheet-formula,1,single-cell,1,E50,,,0,bha.geometry,local-context,N|specific-gravity
1e714a35863a0d7e,bha-tools,.xls,10,s0010,worksheet,f000018,regular,worksheet-formula,2,filled-column,1,M48:M50,SUM,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,10,s0010,worksheet,f000019,regular,worksheet-formula,1,single-cell,1,P16,IF,,0,bha.geometry,local-context,in|kg|m
1e714a35863a0d7e,bha-tools,.xls,10,s0010,worksheet,f000020,regular,worksheet-formula,2,filled-row,1,L16:N16,IF,,0,bha.geometry|torque-drag.connection-capacity,local-context,kg|m
1e714a35863a0d7e,bha-tools,.xls,11,s0011,worksheet,f000021,regular,worksheet-formula,2,filled-column,1,M49:M51,,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,11,s0011,worksheet,f000022,regular,worksheet-formula,1,single-cell,1,E50,,,0,bha.geometry,local-context,N|specific-gravity
1e714a35863a0d7e,bha-tools,.xls,11,s0011,worksheet,f000023,regular,worksheet-formula,2,filled-column,1,M48:M50,SUM,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,11,s0011,worksheet,f000024,regular,worksheet-formula,1,single-cell,1,P16,IF,,0,bha.geometry,local-context,in|kg|m
1e714a35863a0d7e,bha-tools,.xls,11,s0011,worksheet,f000025,regular,worksheet-formula,2,filled-row,1,L16:N16,IF,,0,bha.geometry|torque-drag.connection-capacity,local-context,kg|m
1e714a35863a0d7e,bha-tools,.xls,11,s0011,worksheet,f000026,regular,worksheet-formula,2,filled-row,1,L17:N17,IF,,0,bha.geometry,local-context,kg|m
1e714a35863a0d7e,bha-tools,.xls,3,s0003,worksheet,f000027,regular,worksheet-formula,2,filled-column,1,M49:M51,,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,3,s0003,worksheet,f000028,regular,worksheet-formula,1,single-cell,1,E50,,,0,bha.geometry,local-context,N|specific-gravity
1e714a35863a0d7e,bha-tools,.xls,3,s0003,worksheet,f000029,regular,worksheet-formula,2,filled-column,1,M48:M50,SUM,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,3,s0003,worksheet,f000030,regular,worksheet-formula,1,single-cell,1,P16,IF,,0,bha.geometry,local-context,in|kg|m
1e714a35863a0d7e,bha-tools,.xls,3,s0003,worksheet,f000031,regular,worksheet-formula,2,filled-row,1,L16:N16,IF,,0,bha.geometry|torque-drag.connection-capacity,local-context,kg|m
1e714a35863a0d7e,bha-tools,.xls,5,s0005,worksheet,f000032,regular,worksheet-formula,2,filled-column,1,M49:M51,,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,5,s0005,worksheet,f000033,regular,worksheet-formula,1,single-cell,1,E50,,,0,bha.geometry,local-context,N|specific-gravity
1e714a35863a0d7e,bha-tools,.xls,5,s0005,worksheet,f000034,regular,worksheet-formula,2,filled-column,1,M48:M50,SUM,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,5,s0005,worksheet,f000035,regular,worksheet-formula,1,single-cell,1,P16,IF,,0,bha.geometry,local-context,in|kg|m
1e714a35863a0d7e,bha-tools,.xls,5,s0005,worksheet,f000036,regular,worksheet-formula,2,filled-row,1,L16:N16,IF,,0,bha.geometry|torque-drag.connection-capacity,local-context,kg|m
1e714a35863a0d7e,bha-tools,.xls,8,s0008,worksheet,f000037,regular,worksheet-formula,2,filled-column,1,M49:M51,,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,8,s0008,worksheet,f000038,regular,worksheet-formula,1,single-cell,1,E50,,,0,bha.geometry,local-context,N|specific-gravity
1e714a35863a0d7e,bha-tools,.xls,8,s0008,worksheet,f000039,regular,worksheet-formula,2,filled-column,1,M48:M50,SUM,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,8,s0008,worksheet,f000040,regular,worksheet-formula,1,single-cell,1,P16,IF,,0,bha.geometry,local-context,in|kg|m
1e714a35863a0d7e,bha-tools,.xls,8,s0008,worksheet,f000041,regular,worksheet-formula,2,filled-row,1,L16:N16,IF,,0,bha.geometry|torque-drag.connection-capacity,local-context,kg|m
1e714a35863a0d7e,bha-tools,.xls,9,s0009,worksheet,f000042,regular,worksheet-formula,2,filled-column,1,M49:M51,,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,9,s0009,worksheet,f000043,regular,worksheet-formula,1,single-cell,1,E50,,,0,bha.geometry,local-context,N|specific-gravity
1e714a35863a0d7e,bha-tools,.xls,9,s0009,worksheet,f000044,regular,worksheet-formula,2,filled-column,1,M48:M50,SUM,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,9,s0009,worksheet,f000045,regular,worksheet-formula,1,single-cell,1,P16,IF,,0,bha.geometry,local-context,in|kg|m
1e714a35863a0d7e,bha-tools,.xls,9,s0009,worksheet,f000046,regular,worksheet-formula,2,filled-row,1,L16:N16,IF,,0,bha.geometry|torque-drag.connection-capacity,local-context,kg|m
1e714a35863a0d7e,bha-tools,.xls,4,s0004,worksheet,f000047,regular,worksheet-formula,2,filled-column,1,M49:M51,,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,4,s0004,worksheet,f000048,regular,worksheet-formula,1,single-cell,1,E50,,,0,bha.geometry,local-context,N|specific-gravity
1e714a35863a0d7e,bha-tools,.xls,4,s0004,worksheet,f000049,regular,worksheet-formula,2,filled-column,1,M48:M50,SUM,,0,bha.geometry,local-context,N
1e714a35863a0d7e,bha-tools,.xls,4,s0004,worksheet,f000050,regular,worksheet-formula,1,single-cell,1,P16,IF,,0,bha.geometry,local-context,in|kg|m
1e714a35863a0d7e,bha-tools,.xls,4,s0004,worksheet,f000051,regular,worksheet-formula,2,filled-row,1,L16:N16,IF,,0,bha.geometry|torque-drag.connection-capacity,local-context,kg|m
1e714a35863a0d7e,bha-tools,.xls,2,s0002,worksheet,f000052,regular,worksheet-formula,2,filled-column,1,M43:M45,,,0,bha.geometry,local-context,
1e714a35863a0d7e,bha-tools,.xls,2,s0002,worksheet,f000053,regular,worksheet-formula,1,single-cell,1,E44,,,0,bha.geometry,local-context,specific-gravity
1e714a35863a0d7e,bha-tools,.xls,2,s0002,worksheet,f000054,regular,worksheet-formula,2,filled-column,1,M42:M44,SUM,,0,bha.geometry,local-context,
